,Sl. No.,Depot,Route No.,From,To,Route Length,Type,No.of Service,Departure Timings,Fare
148,149,TCN,191UD,CHENNAI,TIRUCHENDUR,641,ULTRA,6,"15.00,16.25,17.15,18.30,20.00, 20.30",353
149,150,MDU,179UD,CHENNAI,TIRUMANGALAM,483,ULTRA,1,19.45,895
150,151,KKDI,134UD,CHENNAI,TIRUMAYAM,403,ULTRA,1,21,223
151,152,CB,330UD,CHENNAI,TIRUNALLAR,310,ULTRA,2,"09.30,21.00",406
152,153,TNVB,180AC,CHENNAI,TIRUNELVELI,622,A/C,1,19,529
153,154,TNVA,180UD,CHENNAI,TIRUNELVELI,622,ULTRA,14,"17.50,18.10,18.30,18.45,19.00, 19.20,19.35,19.50,20.00,20.30, 20.45,21.00",799
154,155,TNVA,182AC,CHENNAI,TIRUNELVELI,622,A/C,1,19.45,746
155,156,KKDI,911UD,CHENNAI,TIRUPATHI,160,ULTRA,4,"06.00,06.30,15.30,16.00 ",324
156,157,KKDI,138UD,CHENNAI,TIRUPATHURRMD,437,ULTRA,1,19.05,738
157,158,CB,470AC,CHENNAI,TIRUPPUR,467,A/C,1,21,728
158,159,CB,470UD,CHENNAI,TIRUPPUR,467,ULTRA,2,"20.45,22.45",963
159,160,CA,340UD,CHENNAI,TIRUTHURAIPOOND,356,ULTRA,2,"09.00,20.31",589
160,161,CA,325AC,CHENNAI,TIRUVARUR,327,A/C,2,"10.10,21.30",483
161,162,TRY,123AC,CHENNAI,TRICHY,331,A/C,4,"10.00,11.00 ,22.30,22.45 ",195
162,163,TRY,123UD,CHENNAI,TRICHY,331,ULTRA,31,"03.00,04.00,04.30,06.00,06.15, 06.30,06.45,07.00,07.30,07.45, 08.00,08.45,09.15,09.30,09.45, 10.30,10.45,17.00,18.00,20.30, 21.25,21.45,22.10,22.16,22.20, 22.30,22.45,23.05,23.20,23.25 , 23.30",184
163,164,CC,787UD,CHENNAI,TRISSUR,629,ULTRA,1,17.3,617
164,165,TVM,794UD,CHENNAI,TRIVANDRUM,768,ULTRA,11,"09.30,10.30,11.30,12.30,13.30, 14.30,15.15,16.45,17.30,18.30, 20.30,",875
165,166,TCN,166TU,CHENNAI,TUTICORIN,690,ULTRA,1,15,152
166,167,TCN,170AC,CHENNAI,TUTICORIN,601,A/C,1,19.3,804
167,168,TCN,170UD,CHENNAI,TUTICORIN,601,ULTRA,8,"16.00,17.00,18.00,19.30,20.00, 20.30,21.45,22.15",820
168,169,TCN,171UD,CHENNAI,TUTICORIN,606,ULTRA,2,"18.45,23.00 ",801
169,170,CB,469UD,CHENNAI,UDUMALPET,522,ULTRA,1,18.45,438
